Site,Month,WY,Date
8,10,2005,2004-10-15
8,10,2006,2005-10-11
8,10,2007,2006-10-10
8,10,2008,2007-10-09
8,10,2009,2008-10-07
8,10,2010,2009-10-09
8,10,2011,2010-10-13
8,10,2013,2012-10-10
8,10,2014,2013-10-11
8,11,2009,2008-11-14
8,12,2009,2008-12-05
9,6,2003,2003-06-16
9,6,2004,2004-06-15
9,6,2005,2005-06-21
9,6,2006,2006-06-13
9,6,2007,2007-06-12
9,6,2008,2008-06-17
9,6,2009,2009-06-16
9,6,2010,2010-06-05
9,6,2011,2011-06-17
9,6,2012,2012-06-13
9,6,2014,2014-06-18
9,10,2003,2002-10-07
9,10,2004,2003-10-09
9,10,2005,2004-10-15
9,10,2006,2005-10-11
9,10,2007,2006-10-10
9,10,2008,2007-10-09
9,10,2009,2008-10-07
9,10,2010,2009-10-06
9,10,2011,2010-10-13
9,10,2013,2012-10-09
9,10,2014,2013-10-11
9,10,2022,2021-10-06
